clade_name	../concat/170191_CAGE4007_METAG.1.fq.gz	../concat/170191_CAGE4014_METAG.1.fq.gz	../concat/170191_CAGE4015_METAG.1.fq.gz	../concat/170191_CAGE4017_METAG.1.fq.gz	../concat/170191_CAGE4019_METAG.1.fq.gz	../concat/170191_CAGE4021_METAG.1.fq.gz	../concat/170191_CAGE4027_METAG.1.fq.gz	../concat/170191_CAGE4030_METAG.1.fq.gz	../concat/170191_CAGE4031_METAG.1.fq.gz	../concat/170191_CAGE4039_METAG.1.fq.gz	../concat/170191_CAGE4040_METAG.1.fq.gz	../concat/170191_CAGE4041_METAG.1.fq.gz	../concat/170191_CAGE4045_METAG.1.fq.gz	../concat/170191_CAGE4052_METAG.1.fq.gz	../concat/170191_CAGE4053_METAG.1.fq.gz	../concat/170191_CAGE4056_METAG.1.fq.gz	../concat/170191_CAGE4060_METAG.1.fq.gz	../concat/170191_CAGE4062_METAG.1.fq.gz	../concat/170191_CAGE4073_METAG.1.fq.gz	../concat/170191_CAGE4081_METAG.1.fq.gz	../concat/170191_CAGE4083_METAG.1.fq.gz	../concat/170191_CAGE4084_METAG.1.fq.gz	../concat/170191_CAGE4085_METAG.1.fq.gz	../concat/170191_CAGE4087_METAG.1.fq.gz	../concat/170191_CAGE4089_METAG.1.fq.gz	../concat/170191_CAGE4091_METAG.1.fq.gz	../concat/170191_CAGE4099_METAG.1.fq.gz	../concat/170191_CAGE4114_METAG.1.fq.gz	../concat/170191_CAGE4119_METAG.1.fq.gz	../concat/170191_CAGE4128_METAG.1.fq.gz	../concat/170191_CAGE4129_METAG.1.fq.gz	../concat/170191_CAGE4131_METAG.1.fq.gz	../concat/170191_CAGE4133_METAG.1.fq.gz	../concat/170191_CAGE4149_METAG.1.fq.gz	../concat/170191_CAGE4150_METAG.1.fq.gz	../concat/170191_CAGE4151_METAG.1.fq.gz	../concat/170191_CAGE4155_METAG.1.fq.gz	../concat/170191_CAGE4157_METAG.1.fq.gz	../concat/170191_CAGE4161_METAG.1.fq.gz	../concat/170191_CAGE4164_METAG.1.fq.gz	../concat/170191_CAGE4165_METAG.1.fq.gz	../concat/170191_CAGE4166_METAG.1.fq.gz	../concat/170191_CAGE4167_METAG.1.fq.gz	../concat/170191_CAGE4177_METAG.1.fq.gz	../concat/170191_CAGE4179_METAG.1.fq.gz	../concat/170191_CAGE4180_METAG.1.fq.gz	../concat/170191_CAGE4185_METAG.1.fq.gz	../concat/170191_CAGE4186_METAG.1.fq.gz	../concat/170191_CAGE4188_METAG.1.fq.gz	../concat/170191_CAGE4191_METAG.1.fq.gz	../concat/170191_CAGE4192_METAG.1.fq.gz	../concat/170191_CAGE4197_METAG.1.fq.gz	../concat/170191_CAGE4201_METAG.1.fq.gz	../concat/170191_CAGE4203_METAG.1.fq.gz	../concat/170191_CAGE4212_METAG.1.fq.gz	../concat/170191_CAGE4214_METAG.1.fq.gz	../concat/170191_CAGE4217_METAG.1.fq.gz	../concat/170191_CAGE4219_METAG.1.fq.gz	../concat/170191_CAGE4233_METAG.1.fq.gz	../concat/170191_CAGE4234_METAG.1.fq.gz	../concat/170191_CAGE4236_METAG.1.fq.gz	../concat/170191_CAGE4239_METAG.1.fq.gz	../concat/170191_CAGE4244_METAG.1.fq.gz	../concat/170191_CAGE4246_METAG.1.fq.gz	../concat/170191_CAGE4248_METAG.1.fq.gz	../concat/170191_CAGE4251_METAG.1.fq.gz	../concat/170191_CAGE4252_METAG.1.fq.gz	../concat/170191_CAGE4257_METAG.1.fq.gz	../concat/170191_CAGE4260_METAG.1.fq.gz	../concat/170191_CAGE4262_METAG.1.fq.gz	../concat/170191_CAGE4267_METAG.1.fq.gz	../concat/170191_CAGE4274_METAG.1.fq.gz	../concat/170191_CAGE4275_METAG.1.fq.gz	../concat/170191_CAGE4281_METAG.1.fq.gz	../concat/170191_CAGE4286_METAG.1.fq.gz	../concat/170191_CAGE4290_METAG.1.fq.gz	../concat/170191_CAGE4294_METAG.1.fq.gz	../concat/170191_CAGE4295_METAG.1.fq.gz	../concat/170191_CAGE4296_METAG.1.fq.gz	../concat/170191_CAGE4315_METAG.1.fq.gz	../concat/170191_CAGE4325_METAG.1.fq.gz	../concat/170191_CAGE4327_METAG.1.fq.gz	../concat/170191_CAGE4337_METAG.1.fq.gz	../concat/170191_CAGE4339_METAG.1.fq.gz	../concat/170191_CAGE4341_METAG.1.fq.gz	../concat/170191_CAGE4346_METAG.1.fq.gz	../concat/170191_CAGE4347_METAG.1.fq.gz	../concat/170191_CAGE4354_METAG.1.fq.gz	../concat/170191_CAGE4359_METAG.1.fq.gz	../concat/170191_CAGE4366_METAG.1.fq.gz	../concat/170191_CAGE4372_METAG.1.fq.gz	../concat/170191_CAGE4376_METAG.1.fq.gz	../concat/170191_CAGE4378_METAG.1.fq.gz	../concat/170191_CAGE4392_METAG.1.fq.gz	../concat/170191_CAGE4401_METAG.1.fq.gz	../concat/170191_CAGE4414_METAG.1.fq.gz	../concat/170191_CAGE4421_METAG.1.fq.gz	../concat/170191_CAGE4424_METAG.1.fq.gz	../concat/170191_CAGE4428_METAG.1.fq.gz	../concat/170191_CAGE4434_METAG.1.fq.gz	../concat/170191_CAGE4437_METAG.1.fq.gz	../concat/170191_CAGE4439_METAG.1.fq.gz	../concat/170191_CAGE4443_METAG.1.fq.gz	../concat/170191_CAGE4448_METAG.1.fq.gz	../concat/170191_CAGE4454_METAG.1.fq.gz	../concat/170191_CAGE4468_METAG.1.fq.gz	../concat/170191_CAGE4469_METAG.1.fq.gz	../concat/170191_CAGE4479_METAG.1.fq.gz	../concat/170191_CAGE4481_METAG.1.fq.gz	../concat/170191_CAGE4488_METAG.1.fq.gz	../concat/170191_CAGE4497_METAG.1.fq.gz	../concat/170191_CAGE4521_METAG.1.fq.gz	../concat/170191_CAGE4526_METAG.1.fq.gz	../concat/170191_CAGE4534_METAG.1.fq.gz	../concat/170191_CAGE4556_METAG.1.fq.gz	../concat/170191_CAGE4557_METAG.1.fq.gz	../concat/170191_CAGE4559_METAG.1.fq.gz	../concat/170191_CAGE4561_METAG.1.fq.gz	../concat/170191_CAGE4563_METAG.1.fq.gz	../concat/170191_CAGE4569_METAG.1.fq.gz	../concat/170191_CAGE4573_METAG.1.fq.gz	../concat/170191_CAGE4581_METAG.1.fq.gz	../concat/170191_CAGE4583_METAG.1.fq.gz	../concat/170191_CAGE4591_METAG.1.fq.gz	../concat/170191_CAGE4601_METAG.1.fq.gz	../concat/170191_CAGE4602_METAG.1.fq.gz	../concat/170191_CAGE4604_METAG.1.fq.gz	../concat/170191_CAGE4613_METAG.1.fq.gz	../concat/170191_CAGE4626_METAG.1.fq.gz	../concat/170191_CAGE4628_METAG.1.fq.gz	../concat/170191_CAGE4646_METAG.1.fq.gz	../concat/170191_CAGE4650_METAG.1.fq.gz	../concat/170191_CAGE4659_METAG.1.fq.gz	../concat/170191_CAGE4664_METAG.1.fq.gz	../concat/170191_CAGE4667_METAG.1.fq.gz	../concat/170191_CAGE4675_METAG.1.fq.gz	../concat/170191_CAGE4679_METAG.1.fq.gz	../concat/170191_CAGE4689_METAG.1.fq.gz	../concat/170191_CAGE4691_METAG.1.fq.gz	../concat/170191_CAGE4695_METAG.1.fq.gz	../concat/170191_CAGE4696_METAG.1.fq.gz	../concat/170191_CAGE4701_METAG.1.fq.gz	../concat/170191_CAGE4733_METAG.1.fq.gz	../concat/170191_CAGE4738_METAG.1.fq.gz	../concat/170191_CAGE4754_METAG.1.fq.gz	../concat/170191_CAGE4762_METAG.1.fq.gz
NO_TAXONOMY	5.7729	11.5254	9.8029	2.8565	90.1702	10.714	13.508299999999998	4.2534	3.3083	9.4549	37.7281	13.247799999999998	12.9288	9.606399999999995	8.589799999999999	17.659399999999994	36.45779999999999	4.655200000000001	24.4485	0.9363	0.0955	17.706899999999997	0.5467000000000001	7.782300000000001	0.2638999999999999	3.5482000000000005	7.158	0.0	0.287	0.6448999999999999	11.5071	7.205700000000001	9.7847	8.863900000000001	7.560099999999999	25.991	13.913400000000005	0.4263	3.3049	0.0797	3.0169	5.1366	16.614499999999996	5.774400000000002	8.241	4.8688	11.673000000000002	2.5605	5.6976	19.8556	4.2044	8.461400000000001	11.168100000000004	7.1739	12.2009	3.0907	0.4136000000000001	4.6656	4.0416	1.4536	11.8632	6.517199999999998	1.1038	2.9555	0.764	7.7748	1.4204	3.7197	2.1909	0.6345	4.701899999999999	8.2845	4.7761000000000005	11.159799999999995	0.9065	5.361400000000001	10.2295	5.1014	0.0876999999999999	12.116800000000003	10.0397	7.634300000000001	2.2875	13.753500000000004	10.3935	6.2342	21.3135	5.7554	5.867800000000001	8.837200000000001	10.686899999999998	8.933200000000003	7.5919	10.716400000000002	20.2875	1.3349	8.3269	5.686800000000001	12.908599999999998	5.251200000000001	6.821000000000001	11.733499999999998	1.0534	5.972699999999999	8.243400000000001	0.0	12.123	28.67	7.7874	3.2013000000000007	2.3284	20.0769	20.5677	9.6854	12.1294	10.696500000000004	8.601300000000002	5.2281	0.4228999999999999	4.2159	0.3091	3.5239000000000003	4.534199999999998	0.8294999999999999	11.393400000000002	38.608700000000006	17.471999999999998	8.2899	4.756200000000001	17.1327	29.8018	4.305300000000001	32.3978	15.9628	11.0986	2.2918000000000003	10.593800000000002	11.4214	1.2198	7.0572	8.382399999999999	1.019	13.1194	7.3475	11.943499999999998	10.1178
NO_TAXONOMY|t__GCA_000227275.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NO_TAXONOMY|t__GCA_000242235.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1731	0.0	0.0	0.0	0.0	0.0	0.1653	0.0	0.0	0.2126	0.0	0.0	0.0	0.0	0.0	0.7813	0.0	0.0	0.0097	0.0	0.0	0.0	0.0	0.0225	0.2953	0.0429	0.0758	0.0655	0.0	0.1659	0.0546	0.0	0.0	0.0	0.0	0.0	0.092	0.019	0.0	0.0	0.1795	0.0	0.0	0.4842	0.0	0.0	0.0441	0.3658	0.0	0.0	0.0436	0.3117	0.0	0.1338	0.0	0.0	0.0884	0.0602	0.0	0.0805	0.0	0.0462	0.0	0.0	0.0	0.0	0.1673	0.0	0.0	0.2998	0.0	0.1331	0.0	0.0	0.1784	0.1165	0.0	0.177	0.0	0.0	0.0	0.0	0.0428	0.0	0.0	0.0	0.1432	0.0839	0.0	0.0	0.0	0.0	0.24	0.2244	0.0	0.0	0.0	0.1965	0.0371	0.0	0.0	0.0	0.6209	0.0	0.0927	0.4397	0.0987	0.0	0.0399	0.0	0.0616	0.1364	0.0	0.0	0.0	0.045	0.0638	0.0	0.0	0.0	0.0589	0.7203	0.0094	0.0	0.0	0.0239	0.0	0.1712	0.0486	0.0	0.9492	0.1964	0.0574	0.0	0.1549	0.0212	0.0	1.2523	0.071	0.1134
NO_TAXONOMY|t__GCA_000277545.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NO_TAXONOMY|t__GCA_000411415.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7808	0.0867	0.9636	0.0	0.0	0.0	0.0232	0.0	0.0	0.0	0.0849	0.0	0.2264	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0675	0.0	0.0	1.3226	0.0	0.0	0.0	0.0	0.0	0.0	0.4453	0.8031	0.0	0.3328	3.3251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1366	0.0	0.0	0.0	0.0	1.9144	0.0	1.1878	0.0	0.0	0.0	0.0	0.2681	0.0	0.0	0.0	0.0	0.0	0.0	1.9107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6659	0.0	0.0	0.0	0.0	0.0	0.0	0.0995	0.0	0.0	0.0	0.0	0.0	0.0974	0.0	0.0	0.0	0.0	0.0	0.5465	0.0	0.0	0.0	0.3199	0.0	0.0	0.0	0.0	0.0	0.4163	0.0	0.0	0.0	0.0776	0.0	0.0	0.0	0.0
NO_TAXONOMY|t__GCA_000466405.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0184	0.0	0.0	0.0	0.0	0.0	0.0051	0.5817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0352	0.0	0.0	0.0	0.0	0.0	0.0374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2452	0.0	0.1427	0.0	0.0	0.0159	0.0	0.0	0.0	0.0	0.0	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0212	0.0	0.6616	0.0335	0.2173	0.0	0.0765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2676	0.0	0.0	0.0	5.6313	0.0	0.0155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2048	0.0307	0.0491
NO_TAXONOMY|t__GCA_000468055.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0137	0.0	0.0269	0.0	0.0	0.0	0.0	0.0194	0.0589	0.0159	0.0311	0.0	0.0	0.0	0.0481	0.0	0.0	0.0	0.0	0.0	0.0	0.0798	0.0	0.0	0.0	0.0	0.0	0.0	0.7751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0729	0.0	0.1517	0.0	0.0111	0.0	0.1521	0.0	0.0204	0.0495	0.0	0.0	0.0066	0.0	0.0452	0.0	0.0	0.0	0.0	0.0	0.0135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.3485	0.0	0.0	0.0213	0.0558	0.0	0.0346	0.2314	0.0	0.0	0.0	0.0	0.0	0.0767	0.0	0.0	0.0	0.0	0.0192	0.0	0.0	0.0169	0.0	0.0776	0.0054	0.0266	0.0238	0.0	0.0298	0.0	0.0	0.0569	0.0	0.0	0.0	0.0044	0.0	0.0	0.1743	0.0	0.0	0.0	0.0	0.0255	0.0	0.0893	0.0	0.0	0.0	0.0
NO_TAXONOMY|t__GCA_000564995.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0829	0.0	0.0	0.0	0.4315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5033	2.4443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4077	1.0921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4298	0.0	0.0	0.0	0.0	0.0	0.0	0.1464	3.2241	1.7743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4242	1.2286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NO_TAXONOMY|t__GCA_001064145.1	0.0	0.0	0.0	0.0	0.0	0.3903	0.3375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0569	0.0735	0.0	0.0	0.8464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1189	0.0	0.8943	0.0	3.1328	0.0	0.0	0.0	0.0	0.0	0.0	0.1703	0.0	0.0	0.0	0.687	5.2555	0.0	0.0	0.3035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1673	0.0071	0.0	0.0	0.8249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2083	0.0	0.0	1.7638	1.5605	0.0	0.0	0.3601	0.0	0.0	0.1769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6759	0.0	0.0	0.0	0.3899	0.0	0.0	0.2682	1.1534	0.0
NO_TAXONOMY|t__GCA_001072465.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8026	0.0	0.0	0.366	0.0	0.1749	0.0	0.9373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0674	0.0	0.0	0.0	1.2124	0.1003	0.0	0.0	0.0	0.0	0.0	0.3771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2541	0.0	0.0	0.0	0.0	0.0	0.0	0.0615	0.0	0.0	0.0	0.0	0.4445	0.0	0.0	0.0	0.9238	0.0	0.0	0.0	0.0808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4078	0.3887	0.0	0.0	0.0	0.0	0.1812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2199	0.0	0.0707	0.1878	0.0	0.0	0.0	0.474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5117	0.106	0.0	0.0148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2521	0.0	0.0	0.0	0.0	0.0
